dummy,bid,pairs,birdID,location,gender,d_yyyymmdd,d_julDate,d_mass_g,d_diet,r_yyyymmdd,r_julDate,r_mass_g,r_diet
1,145,1,201822001,2000,1,20180520,737200.8576,1190,0,20180528,737208.7701,1210,0
1,150,6,201822006,2000,2,20180520,737200.9903,870,1,20180528,737209.0771,910,0
1,146,2,201822002,2000,2,20180520,737200.8965,860,0,20180526,737207.0715,940,0
1,153,9,201822009,2000,1,20180520,737201.075,1150,0,20180528,737208.6944,1150,0
1,147,3,201822003,2000,2,20180520,737200.9201,860,0,20180527,737207.9132,820,0
1,151,7,201822007,2000,1,20180520,737201.0417,1150,0,20180528,737209,1130,0
1,148,4,201822004,2000,1,20180520,737200.9514,1240,0,20180526,737206.9618,1180,0
1,152,8,201822008,2000,2,20180520,737201.059,880,1,20180527,737207.8215,880,0
1,154,10,201822010,2000,1,20180520,737201.0924,1020,1,20180526,737206.9375,980,0
1,159,15,201822015,2000,2,20180521,737201.9181,980,0,20180528,737208.9403,1030,0
1,155,11,201822011,2000,2,20180521,737201.6764,940,0,20180527,737207.7972,990,0
1,157,13,201822013,2000,1,20180521,737201.7688,1140,0,20180527,737207.7757,1170,1
1,156,12,201822012,2000,1,20180521,737201.7382,1240,0,20180527,737207.941,1170,0
1,162,18,201822018,2000,2,20180521,737202.0465,930,0,20180526,737207.0396,910,1
1,161,17,201822017,2000,2,20180521,737201.9938,800,0,20180528,737208.9243,850,0
1,163,19,201822019,2000,1,20180521,737202.0896,1150,0,20180528,737208.8292,1230,1
1,166,22,201822022,2000,2,20180525,737205.7819,980,1,20180529,737209.8653,960,1
1,170,26,201822026,2000,1,20180525,737205.9667,1200,1,20180530,737210.7111,1140,0
1,167,23,201822023,2000,1,20180525,737205.8389,1100,1,20180529,737210.0243,1120,0
1,172,28,201822028,2000,2,20180526,737206.641,930,0,20180530,737210.684,930,0
1,169,25,201822025,2000,2,20180525,737205.884,920,1,20180529,737209.9396,920,0
1,174,30,201822030,2000,1,20180526,737206.8056,1230,0,20180531,737211.9688,1240,0
1,173,29,201822029,2000,1,20180526,737206.7215,1210,1,20180530,737210.75,1110,0
1,175,31,201822031,2000,2,20180527,737207.7,850,0,20180529,737210.0833,850,0
1,180,1,201922001,2000,1,20190520,737565.9167,1090,1,20190526,737571.7674,1120,0
1,181,2,201922002,2000,2,20190520,737565.9417,920,0,20190526,737571.7306,1020,1
1,182,3,201922003,2000,1,20190520,737565.9576,1080,1,20190526,737571.6389,1070,0
1,188,9,201922009,2000,2,20190521,737566.8368,950,1,20190526,737571.8653,910,0
1,183,4,201922004,2000,1,20190520,737565.9972,990,0,20190528,737573.7396,1050,0
1,187,8,201922008,2000,2,20190521,737566.8125,900,1,20190526,737572.0493,960,0
1,185,6,201922006,2000,2,20190520,737566.0417,990,0,20190526,737571.9125,940,1
1,189,10,201922010,2000,1,20190521,737566.8646,1180,1,20190527,737572.6875,1160,0
1,192,13,201922013,2000,1,20190521,737567,1130,0,20190527,737573.0451,1080,0
1,193,14,201922014,2000,2,20190521,737567.0104,1055,1,20190526,737571.934,1020,0
1,196,17,201922017,2000,1,20190522,737567.7396,1270,1,20190529,737574.8056,1130,0
1,198,19,201922019,2000,2,20190522,737567.7979,930,1,20190528,737573.8979,880,0
1,200,21,201922021,2000,2,20190522,737567.9306,880,0,20190529,737574.909,980,0
1,202,23,201922023,2000,1,20190522,737567.9854,1155,1,20190528,737573.9375,1180,0
1,204,25,201922025,2000,1,20190522,737568.0111,1230,1,20190529,737574.9167,1130,0
1,208,29,201922029,2000,2,20190523,737568.9896,990,1,20190528,737574.0139,1010,0
1,206,27,201922027,2000,2,20190523,737568.7813,920,1,20190531,737576.8493,830,0
1,209,30,201922030,2000,1,20190524,737569.7049,1290,0,20190528,737574.0486,1230,0
