pair,year,partner1,partner2
1,2018,201822001,201822006
2,2018,201822002,201822009
3,2018,201822003,201822007
4,2018,201822004,201822008
6,2018,201822010,201822015
7,2018,201822011,201822013
8,2018,201822012,201822018
9,2018,201822017,201822019
11,2018,201822022,201822026
12,2018,201822023,201822028
14,2018,201822025,201822030
15,2018,201822029,201822031
16,2019,201922001,201922002
17,2019,201922003,201922009
18,2019,201922004,201922008
20,2019,201922006,201922010
22,2019,201922013,201922014
24,2019,201922017,201922019
26,2019,201922021,201922023
28,2019,201922025,201922029
30,2019,201922027,201922030
